PERIOD	VALUE
2013-01-31	0.36378723404255314
2013-02-28	0.3314870967741935
2013-03-31	0.3016857142857142
2013-04-30	0.1393222222222222
2013-05-31	0.5323519999999997
2013-06-30	0.32839736842105266
2013-07-31	0.3624781250000001
2013-08-31	0.2871925925925925
2013-09-30	0.2865282051282052
2013-10-31	0.3352194444444443
2013-11-30	0.2516414634146341
2013-12-31	0.21214090909090907
2014-01-31	0.15756666666666666
2014-02-28	0.2285017857142857
2014-03-31	0.22359305555555553
2014-04-30	0.23684868421052627
2014-05-31	0.13529482758620692
2014-06-30	0.29326022727272727
2014-07-31	0.34556391752577315
2014-08-31	0.25551219512195117
2014-09-30	0.232226724137931
2014-10-31	0.3449466666666667
2014-11-30	0.2339778846153845
2014-12-31	0.3303289719626168
2015-01-31	0.21818250000000006
2015-02-28	0.20615929203539832
2015-03-31	0.2719456
2015-04-30	0.2183333333333332
2015-05-31	0.2648197740112994
2015-06-30	0.16526097560975606
2015-07-31	0.25310303030303033
2015-08-31	0.2467040322580645
2015-09-30	0.2931661870503597
2015-10-31	0.26454431137724554
2015-11-30	0.22510254777070066
2015-12-31	0.31429939024390263
2016-01-31	0.21768525641025632
2016-02-29	0.266534375
2016-03-31	0.21986451612903235
2016-04-30	0.23941543624161069
2016-05-31	0.17923236994219657
2016-06-30	0.17746705882352942
2016-07-31	0.1421825581395349
2016-08-31	0.1716520618556701
2016-09-30	0.2158267326732676
2016-10-31	0.20364247311827938
2016-11-30	0.22867464285714262
2016-12-31	0.24458739495798318
2017-01-31	0.2847401486988847
2017-02-28	0.20243279999999989
2017-03-31	0.22256647230320686
2017-04-30	0.1889744630071601
2017-05-31	0.1428181578947369
2017-06-30	0.24518876404494375
2017-07-31	0.20980553745928338
2017-08-31	0.23661454545454552
2017-09-30	0.25652797202797184
2017-10-31	0.22818247734138974
2017-11-30	0.2999248538011693
2017-12-31	0.2951189801699716
2018-01-31	0.28256055555555565
2018-02-28	0.3165424929178472
2018-03-31	0.3073166666666667
2018-04-30	0.30207405405405396
2018-05-31	0.2702196261682241
2018-06-30	0.29855184275184266
2018-07-31	0.2869451476793246
2018-08-31	0.2855948888888887
2018-09-30	0.22433484486873495
2018-10-31	0.20033516949152555
2018-11-30	0.21039819639278576
2018-12-31	0.235009074074074
2019-01-31	0.25424702093397805
2019-02-28	0.2180504032258063
2019-03-31	0.245308249158249
2019-04-30	0.21407631160572335
2019-05-31	0.2600798092209858
2019-06-30	0.24365088967971527
2019-07-31	0.21712593192868715
2019-08-31	0.26729623352165693
2019-09-30	0.24422095588235285
2019-10-31	0.206061935483871
2019-11-30	0.2953826747720364
2019-12-31	0.295707854984894
2020-01-31	0.2715609374999996
2020-02-29	0.24908501529051957
2020-03-31	0.21978138195777344
2020-04-30	0.28235560081466393
2020-05-31	0.1947033898305084
2020-06-30	0.25722774193548364
2020-07-31	0.25046206896551726
2020-08-31	0.26847650602409623
2020-09-30	0.25280525210084004
2020-10-31	0.18757153996101378
2020-11-30	0.2274802536231882
2020-12-31	0.28282504230118444
2021-01-31	0.25242617124394157
2021-02-28	0.2721300847457629
2021-03-31	0.23413140916808137
2021-04-30	0.25175539215686293
2021-05-31	0.2528043548387097
2021-06-30	0.28052709677419363
2021-07-31	0.2456949797570854
2021-08-31	0.25196832548755915
2021-09-30	0.2489749442379186
2021-10-31	0.2384855678906916
2021-11-30	0.2551269195189643
2021-12-31	0.2590434736281301
2022-01-31	0.24009797492767615
2022-02-28	0.23750343781597594
2022-03-31	0.20422143884892097
2022-04-30	0.2259018299246501
2022-05-31	0.2600411242603549
