PERIOD	VALUE
2013-01-31	0.38322857142857136
2013-02-28	0.2640269230769231
2013-03-31	0.4152518518518519
2013-04-30	0.3301866666666668
2013-05-31	0.31172812499999997
2013-06-30	0.43263658536585353
2013-07-31	0.4344571428571428
2013-08-31	0.32965333333333324
2013-09-30	0.21876730769230765
2013-10-31	0.43874905660377356
2013-11-30	0.1927685185185185
2013-12-31	0.22019571428571427
2014-01-31	0.201198717948718
2014-02-28	0.22359859154929587
2014-03-31	0.23764567901234565
2014-04-30	0.32442268907563016
2014-05-31	0.20566422018348615
2014-06-30	0.18957522123893805
2014-07-31	0.23271463414634141
2014-08-31	0.27193786407766984
2014-09-30	0.20715918367346925
2014-10-31	0.2168919354838711
2014-11-30	0.21777902097902094
2014-12-31	0.2100205882352941
2015-01-31	0.23459644970414195
2015-02-28	0.26457989130434795
2015-03-31	0.20043863636363624
2015-04-30	0.23877627118644054
2015-05-31	0.22714845360824729
2015-06-30	0.2266017621145375
2015-07-31	0.2145932291666668
2015-08-31	0.21630758293838862
2015-09-30	0.21287976878612697
2015-10-31	0.2751889952153111
2015-11-30	0.18849059405940582
2015-12-31	0.28687556561085975
2016-01-31	0.24355672268907574
2016-02-29	0.2654613526570047
2016-03-31	0.23902615384615386
2016-04-30	0.28854918032786875
2016-05-31	0.22426995515695064
2016-06-30	0.2612790794979078
2016-07-31	0.23312347826086952
2016-08-31	0.24345759162303648
2016-09-30	0.18613970588235296
2016-10-31	0.19915726872246697
2016-11-30	0.2085848739495796
2016-12-31	0.24837999999999993
2017-01-31	0.2346516245487364
2017-02-28	0.213729961089494
2017-03-31	0.2518361774744025
2017-04-30	0.17993462686567152
2017-05-31	0.22218244047619026
2017-06-30	0.2357127725856698
2017-07-31	0.20811484374999992
2017-08-31	0.20261099290780138
2017-09-30	0.26630555555555524
2017-10-31	0.32306761565836295
2017-11-30	0.27318445229681976
2017-12-31	0.2631373040752349
2018-01-31	0.30286632302405503
2018-02-28	0.37808390410958936
2018-03-31	0.34297973421926925
2018-04-30	0.27032730375426617
2018-05-31	0.22448319088319071
2018-06-30	0.2813018749999998
2018-07-31	0.28418607954545433
2018-08-31	0.2587798761609907
2018-09-30	0.2335854545454545
2018-10-31	0.2123463414634147
2018-11-30	0.2597561679790027
2018-12-31	0.2347166666666666
2019-01-31	0.2322029816513761
2019-02-28	0.27106573816155977
2019-03-31	0.20314719626168226
2019-04-30	0.2274800936768151
2019-05-31	0.22316933045356374
2019-06-30	0.23883477218225418
2019-07-31	0.2289339207048457
2019-08-31	0.23682089947089913
2019-09-30	0.23516069868995626
2019-10-31	0.2600201520912547
2019-11-30	0.293362781954887
2019-12-31	0.22108640350877187
2020-01-31	0.2305622377622377
2020-02-29	0.24569193548387103
2020-03-31	0.1586309895833333
2020-04-30	0.22677315634218287
2020-05-31	0.21110816993464046
2020-06-30	0.23631137724550896
2020-07-31	0.21279069767441858
2020-08-31	0.2434407103825135
2020-09-30	0.24472480417754555
2020-10-31	0.2232834183673468
2020-11-30	0.224239902676399
2020-12-31	0.2510918279569892
2021-01-31	0.2157458149779736
2021-02-28	0.2814782082324455
2021-03-31	0.26932233400402406
2021-04-30	0.22218966244725738
2021-05-31	0.24096294117647046
2021-06-30	0.2799254716981131
2021-07-31	0.196857665677547
2021-08-31	0.22306309246309242
2021-09-30	0.26996735218509027
2021-10-31	0.22715918762088955
2021-11-30	0.2570620655412119
2021-12-31	0.27401356542617067
2022-01-31	0.24111548488008372
2022-02-28	0.25507077319587623
2022-03-31	0.21716176911544202
2022-04-30	0.206223677032188
2022-05-31	0.25215257563368754
